Code,Name,year1959,year1970,year1979,year1989,year2002,year2010,year2013,year2014
IVA,Ivanovo Oblast,1322152,1339110,1320968,1317117,1148329,1061651,1048961,1043130
AST,Astrakhan Oblast,701974,867483,915548,998114,1005276,1010073,1013840,1016516
KLU,Kaluga Oblast,935852,994876,1006973,1066833,1041641,1010930,1005585,1004544
BU,Republic of Buryatia,673326,812251,900812,1041119,981238,972021,971810,973860
SMO,Smolensk Oblast,1142969,1106066,1120748,1158299,1049574,985537,975188,967896
KGD,Kaliningrad Oblast,610885,731936,806864,871283,955281,941873,954773,963128
SA,Sakha Republic,487343,664123,838808,1081408,949280,958528,955580,954803
KGN,Kurgan Oblast,999170,1085560,1080274,1104872,1019532,910807,885759,877149
KO,Komi Republic,815799,964802,1118421,1261024,1018674,901189,880639,872057
KB,Kabardino-Balkar Republic,420115,588203,674605,759586,901494,859939,858946,858397
MO,Republic of Mordovia,1001994,1029562,990617,964132,888766,834755,818566,812156
AMU,Amur Oblast,717514,793449,937389,1057781,902844,830103,816910,811274
MUR,Murmansk Oblast,567672,799527,965462,1146757,892534,795409,780401,771058
ORL,Oryol Oblast,929013,931028,892505,890636,860262,786935,775826,769980
SE,Republic of North Ossetia–Alania,450581,552581,596921,634009,710275,712980,706123,703977
ME,Mari El Republic,647680,684748,702744,749386,727979,696459,690349,688686
PSK,Pskov Oblast,951866,875293,850035,846449,760810,673423,661507,656561
KOS,Kostroma Oblast,921945,870575,803870,809882,736641,667562,658906,656389
KR,Republic of Karelia,651346,713451,736022,791317,716281,643548,636932,634402
NGR,Novgorod Oblast,736529,721471,721790,753054,694355,634111,625855,622430
YAN,Yamalo-Nenets Autonomous Okrug,62334,79977,157616,486164,507006,522904,541612,539671
KK,Republic of Khakassia,411047,445824,500106,568605,546072,532403,533025,534079
SAK,Sakhalin Oblast,649405,615652,654915,709629,546695,497973,493302,491027
KC,Karachay–Cherkess Republic,277959,344651,368343,417560,439470,477859,471847,469837
IN,Republic of Ingushetia,467294,467294,467294,467294,467294,412529,442255,453010
AD,Republic of Adygea,284690,385644,404504,432588,447109,439996,444403,446406
SEV,Sevastopol,152122,254935,333087,392826,376200,378858,381474,383907
KAM,Kamchatka Krai,220753,287612,378491,466096,358801,322079,320549,319864
TY,Tuva Republic,171928,230864,266453,309129,305510,307930,310460,311761
KL,Republic of Kalmykia,184857,267993,293528,322589,292410,289481,284140,282021
AL,Altai Republic,157161,168261,171835,191649,202947,206168,210344,211645
YEV,Jewish Autonomous Oblast,162856,172449,190219,215937,190915,176558,172671,170377
MAG,Magadan Oblast,188889,251297,332845,385340,182726,156996,152358,150312
CHU,Chukotka Autonomous Okrug,46689,101184,132859,157528,53824,50526,50780,50555
NEN,Nenets Autonomous Okrug,36881,39119,47001,54840,41546,42090,42789,43025
CENTR,Central Federal District,33489743,35649787,36741287,38126642,38000651,38427539,38678913,38819874
KRIM,Crimean Federal District,1201517,1813502,2182927,2458655,2384900,2333658,2337896,2342411
NORDKA,North Caucasian Federal District,4993797,6406869,7059373,7796169,8933889,9428826,9540758,9590085
NORDWE,Northwestern Federal District,11511882,12928015,14129811,15333529,14016012,13658147,13760522,13843683
OST,Far Eastern Federal District,4834146,5780509,6819057,7940679,6692865,6293129,6251496,6226640
PRIVOL,Volga Federal District,27648951,29753951,30647027,31785492,31154744,29899699,29772235,29738836
SIB,Siberian Federal District,16632629,18166834,19229103,21077718,20062938,19256426,19278201,19292740
SOUTH,Southern Federal District,9815005,11799455,12579803,13336449,13973252,13854334,13910179,13963874
URAL,Ural Federal District,9298597,10451337,11586538,14280596,14313749,14135673,14323219,14371143
